month,island,accommodation_type,tier,origin_market,visitor_arrivals
2024-02-01,Maui,vacation_rental,mid_market,Europe,2249
2024-02-01,Maui,vacation_rental,mid_market,Other,1185
2024-02-01,Maui,vacation_rental,budget,US_mainland,6183
2024-02-01,Maui,vacation_rental,budget,Japan,1913
2024-02-01,Maui,vacation_rental,budget,Canada,1004
2024-02-01,Maui,vacation_rental,budget,Europe,847
2024-02-01,Maui,vacation_rental,budget,Other,466
2024-02-01,Maui,timeshare,luxury,US_mainland,3898
2024-02-01,Maui,timeshare,luxury,Japan,1270
2024-02-01,Maui,timeshare,luxury,Canada,670
2024-02-01,Maui,timeshare,luxury,Europe,533
2024-02-01,Maui,timeshare,luxury,Other,290
2024-02-01,Maui,timeshare,mid_market,US_mainland,9616
2024-02-01,Maui,timeshare,mid_market,Japan,2697
2024-02-01,Maui,timeshare,mid_market,Canada,1537
2024-02-01,Maui,timeshare,mid_market,Europe,1122
2024-02-01,Maui,timeshare,mid_market,Other,575
2024-02-01,Maui,timeshare,budget,US_mainland,3483
2024-02-01,Maui,timeshare,budget,Japan,984
2024-02-01,Maui,timeshare,budget,Canada,544
2024-02-01,Maui,timeshare,budget,Europe,449
2024-02-01,Maui,timeshare,budget,Other,201
2024-02-01,Oahu,hotel,luxury,US_mainland,35117
2024-02-01,Oahu,hotel,luxury,Japan,10400
2024-02-01,Oahu,hotel,luxury,Canada,6101
2024-02-01,Oahu,hotel,luxury,Europe,4367
2024-02-01,Oahu,hotel,luxury,Other,2480
2024-02-01,Oahu,hotel,mid_market,US_mainland,71109
2024-02-01,Oahu,hotel,mid_market,Japan,21719
2024-02-01,Oahu,hotel,mid_market,Canada,12898
2024-02-01,Oahu,hotel,mid_market,Europe,10449
2024-02-01,Oahu,hotel,mid_market,Other,4867
2024-02-01,Oahu,hotel,budget,US_mainland,26034
2024-02-01,Oahu,hotel,budget,Japan,8835
2024-02-01,Oahu,hotel,budget,Canada,4432
2024-02-01,Oahu,hotel,budget,Europe,3752
2024-02-01,Oahu,hotel,budget,Other,1883
2024-02-01,Oahu,vacation_rental,luxury,US_mainland,18656
2024-02-01,Oahu,vacation_rental,luxury,Japan,5746
2024-02-01,Oahu,vacation_rental,luxury,Canada,3161
2024-02-01,Oahu,vacation_rental,luxury,Europe,2695
2024-02-01,Oahu,vacation_rental,luxury,Other,1200
2024-02-01,Oahu,vacation_rental,mid_market,US_mainland,43018
2024-02-01,Oahu,vacation_rental,mid_market,Japan,11952
2024-02-01,Oahu,vacation_rental,mid_market,Canada,6814
2024-02-01,Oahu,vacation_rental,mid_market,Europe,5696
2024-02-01,Oahu,vacation_rental,mid_market,Other,2683
2024-02-01,Oahu,vacation_rental,budget,US_mainland,14675
2024-02-01,Oahu,vacation_rental,budget,Japan,4719
2024-02-01,Oahu,vacation_rental,budget,Canada,2348
2024-02-01,Oahu,vacation_rental,budget,Europe,2003
2024-02-01,Oahu,vacation_rental,budget,Other,1088
2024-02-01,Oahu,timeshare,luxury,US_mainland,10200
2024-02-01,Oahu,timeshare,luxury,Japan,2641
2024-02-01,Oahu,timeshare,luxury,Canada,1503
2024-02-01,Oahu,timeshare,luxury,Europe,1213
2024-02-01,Oahu,timeshare,luxury,Other,674
2024-02-01,Oahu,timeshare,mid_market,US_mainland,22057
2024-02-01,Oahu,timeshare,mid_market,Japan,6615
2024-02-01,Oahu,timeshare,mid_market,Canada,3393
2024-02-01,Oahu,timeshare,mid_market,Europe,2620
2024-02-01,Oahu,timeshare,mid_market,Other,1460
2024-02-01,Oahu,timeshare,budget,US_mainland,7806
2024-02-01,Oahu,timeshare,budget,Japan,2309
2024-02-01,Oahu,timeshare,budget,Canada,1358
2024-02-01,Oahu,timeshare,budget,Europe,1033
2024-02-01,Oahu,timeshare,budget,Other,464
2024-02-01,Kauai,hotel,luxury,US_mainland,7802
2024-02-01,Kauai,hotel,luxury,Japan,2156
2024-02-01,Kauai,hotel,luxury,Canada,1270
2024-02-01,Kauai,hotel,luxury,Europe,1060
2024-02-01,Kauai,hotel,luxury,Other,466
2024-02-01,Kauai,hotel,mid_market,US_mainland,15330
2024-02-01,Kauai,hotel,mid_market,Japan,4592
2024-02-01,Kauai,hotel,mid_market,Canada,2746
2024-02-01,Kauai,hotel,mid_market,Europe,2099
2024-02-01,Kauai,hotel,mid_market,Other,1107
2024-02-01,Kauai,hotel,budget,US_mainland,6147
2024-02-01,Kauai,hotel,budget,Japan,1697
2024-02-01,Kauai,hotel,budget,Canada,1011
2024-02-01,Kauai,hotel,budget,Europe,762
2024-02-01,Kauai,hotel,budget,Other,395
2024-02-01,Kauai,vacation_rental,luxury,US_mainland,4313
2024-02-01,Kauai,vacation_rental,luxury,Japan,1282
2024-02-01,Kauai,vacation_rental,luxury,Canada,631
2024-02-01,Kauai,vacation_rental,luxury,Europe,533
2024-02-01,Kauai,vacation_rental,luxury,Other,260
2024-02-01,Kauai,vacation_rental,mid_market,US_mainland,8202
2024-02-01,Kauai,vacation_rental,mid_market,Japan,2789
2024-02-01,Kauai,vacation_rental,mid_market,Canada,1518
2024-02-01,Kauai,vacation_rental,mid_market,Europe,1143
2024-02-01,Kauai,vacation_rental,mid_market,Other,617
2024-02-01,Kauai,vacation_rental,budget,US_mainland,3267
2024-02-01,Kauai,vacation_rental,budget,Japan,961
2024-02-01,Kauai,vacation_rental,budget,Canada,498
2024-02-01,Kauai,vacation_rental,budget,Europe,403
2024-02-01,Kauai,vacation_rental,budget,Other,229
2024-02-01,Kauai,timeshare,luxury,US_mainland,2156
2024-02-01,Kauai,timeshare,luxury,Japan,612
2024-02-01,Kauai,timeshare,luxury,Canada,356
2024-02-01,Kauai,timeshare,luxury,Europe,274
2024-02-01,Kauai,timeshare,luxury,Other,127
2024-02-01,Kauai,timeshare,mid_market,US_mainland,4189
2024-02-01,Kauai,timeshare,mid_market,Japan,1295
2024-02-01,Kauai,timeshare,mid_market,Canada,790
2024-02-01,Kauai,timeshare,mid_market,Europe,622
2024-02-01,Kauai,timeshare,mid_market,Other,314
2024-02-01,Kauai,timeshare,budget,US_mainland,1723
2024-02-01,Kauai,timeshare,budget,Japan,463
2024-02-01,Kauai,timeshare,budget,Canada,259
2024-02-01,Kauai,timeshare,budget,Europe,202
2024-02-01,Kauai,timeshare,budget,Other,113
2024-02-01,Hawaii,hotel,luxury,US_mainland,10508
2024-02-01,Hawaii,hotel,luxury,Japan,2926
2024-02-01,Hawaii,hotel,luxury,Canada,1682
2024-02-01,Hawaii,hotel,luxury,Europe,1247
2024-02-01,Hawaii,hotel,luxury,Other,705
2024-02-01,Hawaii,hotel,mid_market,US_mainland,23051
2024-02-01,Hawaii,hotel,mid_market,Japan,7032
2024-02-01,Hawaii,hotel,mid_market,Canada,3810
2024-02-01,Hawaii,hotel,mid_market,Europe,3081
2024-02-01,Hawaii,hotel,mid_market,Other,1342
2024-02-01,Hawaii,hotel,budget,US_mainland,8220
2024-02-01,Hawaii,hotel,budget,Japan,2312
2024-02-01,Hawaii,hotel,budget,Canada,1411
2024-02-01,Hawaii,hotel,budget,Europe,1107
2024-02-01,Hawaii,hotel,budget,Other,559
2024-02-01,Hawaii,vacation_rental,luxury,US_mainland,5668
2024-02-01,Hawaii,vacation_rental,luxury,Japan,1560
2024-02-01,Hawaii,vacation_rental,luxury,Canada,941
2024-02-01,Hawaii,vacation_rental,luxury,Europe,675
2024-02-01,Hawaii,vacation_rental,luxury,Other,381
2024-02-01,Hawaii,vacation_rental,mid_market,US_mainland,12562
2024-02-01,Hawaii,vacation_rental,mid_market,Japan,3406
2024-02-01,Hawaii,vacation_rental,mid_market,Canada,2080
2024-02-01,Hawaii,vacation_rental,mid_market,Europe,1574
2024-02-01,Hawaii,vacation_rental,mid_market,Other,767
2024-02-01,Hawaii,vacation_rental,budget,US_mainland,4524
2024-02-01,Hawaii,vacation_rental,budget,Japan,1240
2024-02-01,Hawaii,vacation_rental,budget,Canada,665
2024-02-01,Hawaii,vacation_rental,budget,Europe,548
2024-02-01,Hawaii,vacation_rental,budget,Other,280
2024-02-01,Hawaii,timeshare,luxury,US_mainland,2857
2024-02-01,Hawaii,timeshare,luxury,Japan,871
2024-02-01,Hawaii,timeshare,luxury,Canada,434
2024-02-01,Hawaii,timeshare,luxury,Europe,368
2024-02-01,Hawaii,timeshare,luxury,Other,177
2024-02-01,Hawaii,timeshare,mid_market,US_mainland,6397
2024-02-01,Hawaii,timeshare,mid_market,Japan,1792
2024-02-01,Hawaii,timeshare,mid_market,Canada,1060
2024-02-01,Hawaii,timeshare,mid_market,Europe,743
2024-02-01,Hawaii,timeshare,mid_market,Other,426
2024-02-01,Hawaii,timeshare,budget,US_mainland,2049
2024-02-01,Hawaii,timeshare,budget,Japan,696
2024-02-01,Hawaii,timeshare,budget,Canada,346
2024-02-01,Hawaii,timeshare,budget,Europe,270
2024-02-01,Hawaii,timeshare,budget,Other,142
2024-03-01,Maui,hotel,luxury,US_mainland,15393
2024-03-01,Maui,hotel,luxury,Japan,4322
2024-03-01,Maui,hotel,luxury,Canada,2517
2024-03-01,Maui,hotel,luxury,Europe,1984
2024-03-01,Maui,hotel,luxury,Other,972
2024-03-01,Maui,hotel,mid_market,US_mainland,33070
2024-03-01,Maui,hotel,mid_market,Japan,9416
2024-03-01,Maui,hotel,mid_market,Canada,5627
2024-03-01,Maui,hotel,mid_market,Europe,4009
2024-03-01,Maui,hotel,mid_market,Other,2326
2024-03-01,Maui,hotel,budget,US_mainland,11953
2024-03-01,Maui,hotel,budget,Japan,3689
2024-03-01,Maui,hotel,budget,Canada,2057
2024-03-01,Maui,hotel,budget,Europe,1627
2024-03-01,Maui,hotel,budget,Other,775
2024-03-01,Maui,vacation_rental,luxury,US_mainland,7543
2024-03-01,Maui,vacation_rental,luxury,Japan,2494
2024-03-01,Maui,vacation_rental,luxury,Canada,1313
2024-03-01,Maui,vacation_rental,luxury,Europe,1048
2024-03-01,Maui,vacation_rental,luxury,Other,570
2024-03-01,Maui,vacation_rental,mid_market,US_mainland,18447
2024-03-01,Maui,vacation_rental,mid_market,Japan,5175
2024-03-01,Maui,vacation_rental,mid_market,Canada,2879
2024-03-01,Maui,vacation_rental,mid_market,Europe,2341
2024-03-01,Maui,vacation_rental,mid_market,Other,1169
2024-03-01,Maui,vacation_rental,budget,US_mainland,6268
2024-03-01,Maui,vacation_rental,budget,Japan,1828
2024-03-01,Maui,vacation_rental,budget,Canada,1066
2024-03-01,Maui,vacation_rental,budget,Europe,925
2024-03-01,Maui,vacation_rental,budget,Other,444
2024-03-01,Maui,timeshare,luxury,US_mainland,4311
2024-03-01,Maui,timeshare,luxury,Japan,1237
2024-03-01,Maui,timeshare,luxury,Canada,654
2024-03-01,Maui,timeshare,luxury,Europe,544
2024-03-01,Maui,timeshare,luxury,Other,248
2024-03-01,Maui,timeshare,mid_market,US_mainland,8606
2024-03-01,Maui,timeshare,mid_market,Japan,2643
2024-03-01,Maui,timeshare,mid_market,Canada,1504
2024-03-01,Maui,timeshare,mid_market,Europe,1217
2024-03-01,Maui,timeshare,mid_market,Other,591
2024-03-01,Maui,timeshare,budget,US_mainland,3210
2024-03-01,Maui,timeshare,budget,Japan,927
2024-03-01,Maui,timeshare,budget,Canada,538
2024-03-01,Maui,timeshare,budget,Europe,460
2024-03-01,Maui,timeshare,budget,Other,226
2024-03-01,Oahu,hotel,luxury,US_mainland,32819
2024-03-01,Oahu,hotel,luxury,Japan,9704
2024-03-01,Oahu,hotel,luxury,Canada,5789
2024-03-01,Oahu,hotel,luxury,Europe,4718
2024-03-01,Oahu,hotel,luxury,Other,2249
2024-03-01,Oahu,hotel,mid_market,US_mainland,80114
2024-03-01,Oahu,hotel,mid_market,Japan,23788
2024-03-01,Oahu,hotel,mid_market,Canada,13056
2024-03-01,Oahu,hotel,mid_market,Europe,9716
2024-03-01,Oahu,hotel,mid_market,Other,4837
2024-03-01,Oahu,hotel,budget,US_mainland,25611
2024-03-01,Oahu,hotel,budget,Japan,7976
2024-03-01,Oahu,hotel,budget,Canada,4602
2024-03-01,Oahu,hotel,budget,Europe,3903
2024-03-01,Oahu,hotel,budget,Other,1722
2024-03-01,Oahu,vacation_rental,luxury,US_mainland,18641
2024-03-01,Oahu,vacation_rental,luxury,Japan,5788
2024-03-01,Oahu,vacation_rental,luxury,Canada,2996
2024-03-01,Oahu,vacation_rental,luxury,Europe,2599
2024-03-01,Oahu,vacation_rental,luxury,Other,1259
2024-03-01,Oahu,vacation_rental,mid_market,US_mainland,39877
2024-03-01,Oahu,vacation_rental,mid_market,Japan,12785
2024-03-01,Oahu,vacation_rental,mid_market,Canada,6382
2024-03-01,Oahu,vacation_rental,mid_market,Europe,5767
2024-03-01,Oahu,vacation_rental,mid_market,Other,2892
2024-03-01,Oahu,vacation_rental,budget,US_mainland,14168
2024-03-01,Oahu,vacation_rental,budget,Japan,4482
2024-03-01,Oahu,vacation_rental,budget,Canada,2389
2024-03-01,Oahu,vacation_rental,budget,Europe,2164
2024-03-01,Oahu,vacation_rental,budget,Other,1011
2024-03-01,Oahu,timeshare,luxury,US_mainland,8770
2024-03-01,Oahu,timeshare,luxury,Japan,2721
2024-03-01,Oahu,timeshare,luxury,Canada,1663
2024-03-01,Oahu,timeshare,luxury,Europe,1251
2024-03-01,Oahu,timeshare,luxury,Other,660
2024-03-01,Oahu,timeshare,mid_market,US_mainland,21347
2024-03-01,Oahu,timeshare,mid_market,Japan,6724
2024-03-01,Oahu,timeshare,mid_market,Canada,3518
2024-03-01,Oahu,timeshare,mid_market,Europe,2972
2024-03-01,Oahu,timeshare,mid_market,Other,1473
2024-03-01,Oahu,timeshare,budget,US_mainland,7696
2024-03-01,Oahu,timeshare,budget,Japan,2348
2024-03-01,Oahu,timeshare,budget,Canada,1261
2024-03-01,Oahu,timeshare,budget,Europe,1061
2024-03-01,Oahu,timeshare,budget,Other,508
2024-03-01,Kauai,hotel,luxury,US_mainland,7897
2024-03-01,Kauai,hotel,luxury,Japan,2314
2024-03-01,Kauai,hotel,luxury,Canada,1232
2024-03-01,Kauai,hotel,luxury,Europe,952
2024-03-01,Kauai,hotel,luxury,Other,475
2024-03-01,Kauai,hotel,mid_market,US_mainland,16695
2024-03-01,Kauai,hotel,mid_market,Japan,5109
2024-03-01,Kauai,hotel,mid_market,Canada,2732
2024-03-01,Kauai,hotel,mid_market,Europe,2222
2024-03-01,Kauai,hotel,mid_market,Other,1050
2024-03-01,Kauai,hotel,budget,US_mainland,5538
2024-03-01,Kauai,hotel,budget,Japan,1721
2024-03-01,Kauai,hotel,budget,Canada,954
2024-03-01,Kauai,hotel,budget,Europe,769
2024-03-01,Kauai,hotel,budget,Other,399
2024-03-01,Kauai,vacation_rental,luxury,US_mainland,3816
2024-03-01,Kauai,vacation_rental,luxury,Japan,1163
2024-03-01,Kauai,vacation_rental,luxury,Canada,696
2024-03-01,Kauai,vacation_rental,luxury,Europe,558
2024-03-01,Kauai,vacation_rental,luxury,Other,251
2024-03-01,Kauai,vacation_rental,mid_market,US_mainland,8778
2024-03-01,Kauai,vacation_rental,mid_market,Japan,2691
2024-03-01,Kauai,vacation_rental,mid_market,Canada,1465
2024-03-01,Kauai,vacation_rental,mid_market,Europe,1132
2024-03-01,Kauai,vacation_rental,mid_market,Other,586
2024-03-01,Kauai,vacation_rental,budget,US_mainland,3450
2024-03-01,Kauai,vacation_rental,budget,Japan,985
2024-03-01,Kauai,vacation_rental,budget,Canada,557
2024-03-01,Kauai,vacation_rental,budget,Europe,457
2024-03-01,Kauai,vacation_rental,budget,Other,225
2024-03-01,Kauai,timeshare,luxury,US_mainland,1986
2024-03-01,Kauai,timeshare,luxury,Japan,559
2024-03-01,Kauai,timeshare,luxury,Canada,329
2024-03-01,Kauai,timeshare,luxury,Europe,281
2024-03-01,Kauai,timeshare,luxury,Other,143
2024-03-01,Kauai,timeshare,mid_market,US_mainland,4778
2024-03-01,Kauai,timeshare,mid_market,Japan,1319
2024-03-01,Kauai,timeshare,mid_market,Canada,772
2024-03-01,Kauai,timeshare,mid_market,Europe,598
2024-03-01,Kauai,timeshare,mid_market,Other,302
2024-03-01,Kauai,timeshare,budget,US_mainland,1548
2024-03-01,Kauai,timeshare,budget,Japan,464
2024-03-01,Kauai,timeshare,budget,Canada,267
2024-03-01,Kauai,timeshare,budget,Europe,200
2024-03-01,Kauai,timeshare,budget,Other,105
