customer_id,signup_quarter,churn_quarter,plan_tier,industry,arr_usd,tenure_months
C01073,2025Q2,active,Enterprise,Manufacturing,48000,15
C01074,2025Q3,active,Pro,Manufacturing,8400,12
C01075,2025Q2,active,Starter,SaaS,1200,15
C01076,2025Q3,active,Starter,SaaS,1200,12
C01077,2025Q1,active,Starter,Manufacturing,1200,18
C01078,2025Q3,active,Starter,Retail,1200,12
C01079,2025Q3,2025Q4,Pro,SaaS,8400,3
C01080,2025Q2,active,Starter,Healthcare,1200,15
C01081,2025Q1,active,Pro,SaaS,8400,18
C01082,2025Q3,active,Pro,SaaS,8400,12
C01083,2025Q1,active,Pro,Healthcare,8400,18
C01084,2025Q1,2025Q3,Starter,SaaS,1200,6
C01085,2025Q2,active,Pro,Retail,8400,15
C01086,2025Q2,active,Starter,SaaS,1200,15
C01087,2025Q1,active,Starter,Healthcare,1200,18
C01088,2025Q3,2026Q2,Pro,Manufacturing,8400,9
C01089,2025Q1,2026Q2,Starter,Healthcare,1200,15
C01090,2025Q1,active,Starter,Retail,1200,18
C01091,2025Q1,active,Starter,Manufacturing,1200,18
C01092,2025Q3,active,Pro,SaaS,8400,12
C01093,2025Q1,active,Starter,Healthcare,1200,18
C01094,2025Q3,active,Starter,SaaS,1200,12
C01095,2025Q3,active,Pro,Retail,8400,12
C01096,2025Q2,active,Pro,SaaS,8400,15
C01097,2025Q1,active,Enterprise,SaaS,48000,18
C01098,2025Q2,active,Pro,Healthcare,8400,15
C01099,2025Q1,2026Q1,Pro,Finance,8400,12
C01100,2025Q1,active,Enterprise,SaaS,48000,18
C01101,2025Q2,2026Q2,Starter,Manufacturing,1200,12
C01102,2025Q1,2025Q3,Starter,Finance,1200,6
C01103,2025Q2,active,Pro,Manufacturing,8400,15
C01104,2025Q3,active,Starter,Finance,1200,12
C01105,2025Q3,active,Pro,Healthcare,8400,12
C01106,2025Q2,active,Starter,Finance,1200,15
C01107,2025Q3,active,Starter,Retail,1200,12
C01108,2025Q3,2025Q4,Starter,SaaS,1200,3
C01109,2025Q1,active,Pro,Manufacturing,8400,18
C01110,2025Q2,active,Pro,Finance,8400,15
C01111,2025Q3,active,Pro,Manufacturing,8400,12
C01112,2025Q1,2025Q2,Pro,Finance,8400,3
C01113,2025Q3,active,Starter,Retail,1200,12
C01114,2025Q2,2026Q1,Starter,Finance,1200,9
C01115,2025Q2,active,Starter,Finance,1200,15
C01116,2025Q2,active,Starter,Finance,1200,15
C01117,2025Q3,2026Q2,Starter,Finance,1200,9
C01118,2025Q3,active,Starter,SaaS,1200,12
C01119,2025Q3,2025Q4,Starter,Healthcare,1200,3
C01120,2025Q3,2026Q2,Pro,Manufacturing,8400,9
C01121,2025Q2,active,Pro,Finance,8400,15
C01122,2025Q1,active,Starter,Manufacturing,1200,18
C01123,2025Q3,2025Q4,Pro,Finance,8400,3
C01124,2025Q1,active,Starter,Healthcare,1200,18
C01125,2025Q1,2025Q4,Starter,Retail,1200,9
C01126,2025Q1,active,Starter,Manufacturing,1200,18
C01127,2025Q3,active,Starter,Retail,1200,12
C01128,2025Q1,2025Q2,Starter,Manufacturing,1200,3
C01129,2025Q1,active,Enterprise,Manufacturing,48000,18
C01130,2025Q3,active,Starter,Finance,1200,12
C01131,2025Q2,active,Starter,Finance,1200,15
C01132,2025Q3,active,Enterprise,Manufacturing,48000,12
C01133,2025Q3,active,Starter,Finance,1200,12
C01134,2025Q1,2026Q2,Starter,Healthcare,1200,15
C01135,2025Q3,active,Starter,SaaS,1200,12
C01136,2025Q2,active,Pro,Manufacturing,8400,15
C01137,2025Q3,active,Pro,Healthcare,8400,12
C01138,2025Q2,active,Starter,Healthcare,1200,15
C01139,2025Q2,active,Starter,Manufacturing,1200,15
C01140,2025Q2,active,Pro,Finance,8400,15
C01141,2025Q2,active,Pro,Finance,8400,15
C01142,2025Q3,active,Pro,Finance,8400,12
C01143,2025Q1,active,Starter,Healthcare,1200,18
C01144,2025Q2,active,Pro,Manufacturing,8400,15
C01145,2025Q3,active,Starter,Retail,1200,12
C01146,2025Q2,active,Pro,Healthcare,8400,15
C01147,2025Q3,active,Starter,Retail,1200,12
C01148,2025Q1,active,Starter,Retail,1200,18
C01149,2025Q2,active,Pro,SaaS,8400,15
C01150,2025Q2,active,Pro,Finance,8400,15
C01151,2025Q1,active,Starter,Finance,1200,18
C01152,2025Q1,2025Q2,Starter,Manufacturing,1200,3
C01153,2025Q1,active,Pro,Finance,8400,18
C01154,2025Q2,active,Starter,Healthcare,1200,15
C01155,2025Q2,active,Starter,Healthcare,1200,15
C01156,2025Q3,2025Q4,Starter,Retail,1200,3
C01157,2025Q3,active,Pro,Healthcare,8400,12
C01158,2025Q2,active,Pro,Healthcare,8400,15
C01159,2025Q3,active,Starter,Healthcare,1200,12
C01160,2025Q3,active,Starter,Retail,1200,12
C01161,2025Q3,active,Starter,Manufacturing,1200,12
C01162,2025Q3,2026Q2,Pro,Retail,8400,9
C01163,2025Q2,active,Pro,Finance,8400,15
C01164,2025Q3,active,Pro,Retail,8400,12
C01165,2025Q3,active,Starter,Finance,1200,12
C01166,2025Q2,active,Starter,Finance,1200,15
C01167,2025Q3,active,Pro,Manufacturing,8400,12
C01168,2025Q1,2026Q2,Pro,Manufacturing,8400,15
C01169,2025Q3,active,Starter,SaaS,1200,12
C01170,2025Q2,2025Q3,Pro,Finance,8400,3
C01171,2025Q3,active,Starter,SaaS,1200,12
C01172,2025Q2,2026Q1,Starter,SaaS,1200,9
C01173,2025Q3,active,Enterprise,SaaS,48000,12
C01174,2025Q1,active,Enterprise,Healthcare,48000,18
C01175,2025Q1,2025Q2,Starter,Finance,1200,3
C01176,2025Q2,active,Starter,Healthcare,1200,15
C01177,2025Q2,active,Pro,Healthcare,8400,15
C01178,2025Q3,active,Pro,Healthcare,8400,12
C01179,2025Q3,active,Starter,Manufacturing,1200,12
C01180,2025Q2,active,Pro,Finance,8400,15
C01181,2025Q3,active,Starter,SaaS,1200,12
C01182,2025Q2,2026Q2,Pro,SaaS,8400,12
C01183,2025Q3,active,Starter,Retail,1200,12
C01184,2025Q3,active,Starter,Retail,1200,12
C01185,2025Q3,active,Pro,Manufacturing,8400,12
C01186,2025Q3,active,Pro,Healthcare,8400,12
C01187,2025Q3,active,Starter,Retail,1200,12
C01188,2025Q2,active,Starter,Healthcare,1200,15
C01189,2025Q2,active,Starter,Retail,1200,15
C01190,2025Q1,active,Enterprise,Finance,48000,18
C01191,2025Q3,active,Starter,SaaS,1200,12
C01192,2025Q1,2026Q2,Enterprise,Finance,48000,15
C01193,2025Q1,active,Starter,Retail,1200,18
C01194,2025Q2,active,Pro,Healthcare,8400,15
C01195,2025Q2,active,Pro,Retail,8400,15
C01196,2025Q2,active,Enterprise,Finance,48000,15
C01197,2025Q2,active,Starter,Manufacturing,1200,15
C01198,2025Q2,active,Starter,Retail,1200,15
C01199,2025Q1,2026Q1,Pro,Healthcare,8400,12
C01200,2025Q1,active,Starter,Manufacturing,1200,18
C01201,2025Q1,2025Q2,Pro,Healthcare,8400,3
C01202,2025Q2,active,Starter,Retail,1200,15
C01203,2025Q1,active,Pro,Manufacturing,8400,18
C01204,2025Q1,2025Q4,Starter,Manufacturing,1200,9
C01205,2025Q1,active,Pro,Finance,8400,18
C01206,2025Q1,active,Starter,Manufacturing,1200,18
C01207,2025Q3,active,Starter,Retail,1200,12
C01208,2025Q3,active,Pro,Retail,8400,12
C01209,2025Q3,active,Pro,SaaS,8400,12
C01210,2025Q1,active,Pro,SaaS,8400,18
C01211,2025Q1,active,Starter,Retail,1200,18
C01212,2025Q3,active,Pro,Healthcare,8400,12
C01213,2025Q1,2025Q3,Starter,SaaS,1200,6
C01214,2025Q3,active,Starter,Healthcare,1200,12
C01215,2025Q3,active,Starter,Retail,1200,12
C01216,2025Q3,active,Starter,Finance,1200,12
C01217,2025Q1,active,Starter,Retail,1200,18
C01218,2025Q1,active,Starter,Retail,1200,18
C01219,2025Q1,active,Pro,Retail,8400,18
C01220,2025Q3,active,Starter,SaaS,1200,12
C01221,2025Q1,active,Pro,Finance,8400,18
C01222,2025Q1,active,Starter,SaaS,1200,18
C01223,2025Q2,active,Starter,Healthcare,1200,15
C01224,2025Q1,2025Q3,Starter,SaaS,1200,6
C01225,2025Q2,active,Starter,Healthcare,1200,15
C01226,2025Q1,active,Starter,Manufacturing,1200,18
C01227,2025Q3,2026Q2,Enterprise,SaaS,48000,9
C01228,2025Q1,active,Starter,SaaS,1200,18
C01229,2025Q2,active,Pro,Retail,8400,15
C01230,2025Q2,active,Starter,Manufacturing,1200,15
C01231,2025Q1,active,Starter,Manufacturing,1200,18
C01232,2025Q2,active,Enterprise,Retail,48000,15
C01233,2025Q2,active,Pro,Healthcare,8400,15
C01234,2025Q3,active,Starter,Healthcare,1200,12
C01235,2025Q3,active,Enterprise,Finance,48000,12
C01236,2025Q3,active,Enterprise,Manufacturing,48000,12
C01237,2025Q3,active,Enterprise,Retail,48000,12
C01238,2025Q2,active,Starter,Finance,1200,15
C01239,2025Q1,active,Starter,SaaS,1200,18
C01240,2025Q3,active,Pro,SaaS,8400,12
C01241,2025Q2,active,Pro,Healthcare,8400,15
C01242,2025Q3,active,Pro,Healthcare,8400,12
C01243,2025Q3,active,Starter,Finance,1200,12
C01244,2025Q1,active,Starter,Healthcare,1200,18
C01245,2025Q2,2026Q2,Starter,SaaS,1200,12
C01246,2025Q1,2026Q1,Starter,Manufacturing,1200,12
C01247,2025Q1,active,Starter,Retail,1200,18
C01248,2025Q3,active,Pro,Healthcare,8400,12
C01249,2025Q1,active,Starter,Manufacturing,1200,18
C01250,2025Q1,active,Starter,Retail,1200,18
C01251,2025Q3,active,Starter,SaaS,1200,12
C01252,2025Q2,active,Starter,Retail,1200,15
C01253,2025Q2,active,Pro,Finance,8400,15
C01254,2025Q2,active,Starter,Retail,1200,15
C01255,2025Q3,active,Starter,Manufacturing,1200,12
C01256,2025Q3,active,Starter,Manufacturing,1200,12
C01257,2025Q3,2026Q1,Starter,Retail,1200,6
C01258,2025Q2,2025Q3,Pro,Retail,8400,3
C01259,2025Q2,active,Pro,SaaS,8400,15
C01260,2025Q1,2025Q2,Pro,Finance,8400,3
C01261,2025Q3,active,Pro,Healthcare,8400,12
C01262,2025Q3,active,Starter,Finance,1200,12
C01263,2025Q3,active,Starter,SaaS,1200,12
C01264,2025Q2,active,Starter,Finance,1200,15
C01265,2025Q2,active,Starter,Healthcare,1200,15
C01266,2025Q3,active,Enterprise,SaaS,48000,12
C01267,2025Q2,active,Enterprise,Manufacturing,48000,15
C01268,2025Q2,active,Starter,Finance,1200,15
C01269,2025Q2,2025Q4,Starter,Healthcare,1200,6
C01270,2025Q2,active,Pro,Manufacturing,8400,15
C01271,2025Q3,active,Starter,Finance,1200,12
C01272,2025Q1,active,Enterprise,Healthcare,48000,18
C01273,2025Q3,active,Enterprise,Retail,48000,12
C01274,2025Q3,active,Enterprise,Healthcare,48000,12
C01275,2025Q1,active,Starter,Finance,1200,18
C01276,2025Q2,2026Q1,Starter,Finance,1200,9
C01277,2025Q3,active,Starter,Retail,1200,12
C01278,2025Q3,active,Pro,SaaS,8400,12
C01279,2025Q3,active,Pro,Finance,8400,12
C01280,2025Q1,active,Starter,SaaS,1200,18
C01281,2025Q1,active,Starter,SaaS,1200,18
C01282,2025Q3,active,Enterprise,Manufacturing,48000,12
C01283,2025Q1,active,Starter,Retail,1200,18
C01284,2025Q3,active,Pro,Manufacturing,8400,12
C01285,2025Q1,active,Starter,Retail,1200,18
C01286,2025Q3,2026Q2,Enterprise,Healthcare,48000,9
C01287,2025Q1,2025Q3,Starter,Healthcare,1200,6
C01288,2025Q1,2026Q2,Pro,Manufacturing,8400,15
C01289,2025Q3,active,Starter,Retail,1200,12
C01290,2025Q1,active,Starter,Retail,1200,18
C01291,2025Q1,active,Pro,Manufacturing,8400,18
C01292,2025Q1,active,Pro,Finance,8400,18
C01293,2025Q2,active,Pro,Healthcare,8400,15
C01294,2025Q2,active,Pro,Healthcare,8400,15
C01295,2025Q3,active,Starter,Retail,1200,12
C01296,2025Q1,active,Pro,Retail,8400,18
C01297,2025Q1,active,Enterprise,Healthcare,48000,18
C01298,2025Q3,2026Q1,Pro,Healthcare,8400,6
C01299,2025Q2,2026Q2,Pro,Retail,8400,12
C01300,2025Q1,active,Starter,Manufacturing,1200,18
C01301,2025Q1,active,Starter,Healthcare,1200,18
C01302,2025Q2,active,Pro,Healthcare,8400,15
C01303,2025Q1,2026Q2,Starter,Healthcare,1200,15
C01304,2025Q2,active,Pro,Retail,8400,15
C01305,2025Q3,active,Starter,Manufacturing,1200,12
C01306,2025Q1,active,Pro,Healthcare,8400,18
C01307,2025Q1,active,Pro,Retail,8400,18
C01308,2025Q1,active,Starter,Retail,1200,18
C01309,2025Q3,active,Starter,Finance,1200,12
C01310,2025Q3,active,Starter,Manufacturing,1200,12
C01311,2025Q2,active,Starter,Retail,1200,15
C01312,2025Q2,active,Pro,Finance,8400,15
C01313,2025Q1,active,Pro,Manufacturing,8400,18
C01314,2025Q3,active,Starter,Retail,1200,12
C01315,2025Q2,2026Q2,Starter,Retail,1200,12
C01316,2025Q3,2026Q2,Pro,Healthcare,8400,9
C01317,2025Q2,active,Starter,Retail,1200,15
C01318,2025Q2,active,Starter,SaaS,1200,15
C01319,2025Q1,active,Starter,Healthcare,1200,18
C01320,2025Q2,active,Starter,Retail,1200,15
C01321,2025Q1,active,Starter,Manufacturing,1200,18
C01322,2025Q3,active,Starter,Retail,1200,12
C01323,2025Q1,active,Pro,Finance,8400,18
C01324,2025Q1,active,Enterprise,Manufacturing,48000,18
C01325,2025Q3,active,Enterprise,Manufacturing,48000,12
C01326,2025Q3,active,Pro,Retail,8400,12
C01327,2025Q2,active,Pro,Finance,8400,15
C01328,2025Q2,active,Pro,Finance,8400,15
C01329,2025Q1,active,Starter,SaaS,1200,18
C01330,2025Q1,active,Pro,Retail,8400,18
C01331,2025Q3,2026Q1,Starter,Retail,1200,6
C01332,2025Q2,active,Enterprise,Retail,48000,15
C01333,2025Q2,active,Starter,Retail,1200,15
C01334,2025Q3,active,Pro,Retail,8400,12
C01335,2025Q1,active,Pro,Healthcare,8400,18
C01336,2025Q2,active,Starter,SaaS,1200,15
C01337,2025Q1,active,Starter,Manufacturing,1200,18
C01338,2025Q1,2026Q1,Pro,Finance,8400,12
C01339,2025Q1,active,Enterprise,Manufacturing,48000,18
C01340,2025Q2,active,Starter,Manufacturing,1200,15
C01341,2025Q2,active,Starter,SaaS,1200,15
C01342,2025Q1,active,Starter,Retail,1200,18
C01343,2025Q1,active,Pro,Healthcare,8400,18
C01344,2025Q3,active,Enterprise,Finance,48000,12
C01345,2025Q3,active,Starter,Finance,1200,12
C01346,2025Q2,active,Pro,Finance,8400,15
C01347,2025Q1,active,Starter,SaaS,1200,18
C01348,2025Q3,active,Pro,SaaS,8400,12
C01349,2025Q2,active,Starter,SaaS,1200,15
C01350,2025Q1,2026Q2,Starter,Finance,1200,15
C01351,2025Q3,active,Starter,Manufacturing,1200,12
C01352,2025Q3,2026Q1,Starter,Finance,1200,6
C01353,2025Q2,active,Pro,Manufacturing,8400,15
C01354,2025Q2,active,Starter,Manufacturing,1200,15
C01355,2025Q1,active,Starter,SaaS,1200,18
C01356,2025Q3,active,Starter,SaaS,1200,12
C01357,2025Q2,2025Q4,Starter,SaaS,1200,6
C01358,2025Q3,active,Enterprise,SaaS,48000,12
C01359,2025Q1,active,Pro,Retail,8400,18
C01360,2025Q3,active,Starter,Healthcare,1200,12
C01361,2025Q2,active,Starter,SaaS,1200,15
C01362,2025Q1,active,Pro,Retail,8400,18
C01363,2025Q1,active,Enterprise,Manufacturing,48000,18
C01364,2025Q3,active,Starter,Finance,1200,12
C01365,2025Q2,active,Starter,SaaS,1200,15
C01366,2025Q3,active,Starter,Finance,1200,12
C01367,2025Q2,active,Starter,SaaS,1200,15
C01368,2025Q1,active,Enterprise,Healthcare,48000,18
C01369,2025Q2,2025Q3,Starter,Retail,1200,3
C01370,2025Q2,active,Starter,Manufacturing,1200,15
C01371,2025Q2,active,Starter,SaaS,1200,15
C01372,2025Q1,active,Enterprise,Manufacturing,48000,18
C01373,2025Q3,active,Starter,Healthcare,1200,12
C01374,2025Q2,active,Enterprise,Retail,48000,15
C01375,2025Q3,active,Starter,Healthcare,1200,12
C01376,2025Q2,active,Pro,Retail,8400,15
C01377,2025Q1,2026Q2,Pro,Manufacturing,8400,15
C01378,2025Q2,active,Starter,Manufacturing,1200,15
C01379,2025Q1,active,Starter,Retail,1200,18
C01380,2025Q2,active,Starter,Healthcare,1200,15
C01381,2025Q2,active,Starter,Retail,1200,15
C01382,2025Q1,active,Pro,Healthcare,8400,18
C01383,2025Q2,active,Starter,Finance,1200,15
C01384,2025Q1,active,Pro,Manufacturing,8400,18
C01385,2025Q1,2025Q4,Starter,Finance,1200,9
C01386,2025Q3,active,Starter,Retail,1200,12
C01387,2025Q2,2026Q2,Pro,Manufacturing,8400,12
C01388,2025Q1,active,Pro,Healthcare,8400,18
C01389,2025Q3,active,Starter,Healthcare,1200,12
C01390,2025Q1,active,Enterprise,SaaS,48000,18
C01391,2025Q2,active,Pro,Retail,8400,15
C01392,2025Q3,active,Enterprise,Manufacturing,48000,12
C01393,2025Q2,active,Starter,Healthcare,1200,15
C01394,2025Q1,active,Pro,SaaS,8400,18
C01395,2025Q1,2026Q1,Pro,SaaS,8400,12
C01396,2025Q3,active,Starter,SaaS,1200,12
C01397,2025Q1,2026Q2,Enterprise,Manufacturing,48000,15
C01398,2025Q2,active,Pro,Healthcare,8400,15
C01399,2025Q2,active,Starter,Healthcare,1200,15
C01400,2025Q1,2026Q2,Pro,Healthcare,8400,15
C01401,2025Q2,active,Enterprise,Healthcare,48000,15
C01402,2025Q2,active,Starter,SaaS,1200,15
C01403,2025Q3,active,Pro,Finance,8400,12
C01404,2025Q2,active,Enterprise,Healthcare,48000,15
C01405,2025Q3,active,Pro,SaaS,8400,12
C01406,2025Q1,active,Starter,SaaS,1200,18
C01407,2025Q1,active,Starter,Manufacturing,1200,18
C01408,2025Q1,active,Enterprise,Manufacturing,48000,18
C01409,2025Q2,active,Starter,Finance,1200,15
C01410,2025Q3,active,Enterprise,Manufacturing,48000,12
C01411,2025Q1,active,Starter,Healthcare,1200,18
C01412,2025Q1,active,Pro,Manufacturing,8400,18
C01413,2025Q2,active,Pro,Manufacturing,8400,15
C01414,2025Q2,2026Q1,Starter,SaaS,1200,9
C01415,2025Q2,active,Pro,Healthcare,8400,15
C01416,2025Q1,active,Starter,SaaS,1200,18
C01417,2025Q3,active,Enterprise,Healthcare,48000,12
C01418,2025Q3,active,Starter,Retail,1200,12
C01419,2025Q2,active,Starter,SaaS,1200,15
C01420,2025Q3,active,Enterprise,Retail,48000,12
C01421,2025Q2,active,Enterprise,Healthcare,48000,15
C01422,2025Q1,active,Starter,Finance,1200,18
C01423,2025Q3,active,Pro,Manufacturing,8400,12
C01424,2025Q1,active,Enterprise,Healthcare,48000,18
C01425,2025Q3,active,Enterprise,Manufacturing,48000,12
C01426,2025Q1,2025Q2,Pro,SaaS,8400,3
C01427,2025Q2,active,Pro,Manufacturing,8400,15
C01428,2025Q2,active,Starter,Retail,1200,15
C01429,2025Q2,2025Q4,Enterprise,Healthcare,48000,6
C01430,2025Q3,active,Starter,SaaS,1200,12
C01431,2025Q3,active,Pro,Manufacturing,8400,12
C01432,2025Q3,active,Pro,Manufacturing,8400,12
C01433,2025Q3,active,Starter,Manufacturing,1200,12
C01434,2025Q2,active,Starter,Healthcare,1200,15
C01435,2025Q3,active,Starter,Finance,1200,12
C01436,2025Q3,active,Starter,Finance,1200,12
C01437,2025Q3,active,Enterprise,Healthcare,48000,12
C01438,2025Q1,active,Starter,Healthcare,1200,18
C01439,2025Q3,active,Starter,SaaS,1200,12
C01440,2025Q2,2025Q4,Starter,Retail,1200,6
C01441,2025Q2,active,Starter,Finance,1200,15
C01442,2025Q2,2025Q3,Starter,Manufacturing,1200,3
C01443,2025Q1,2025Q4,Enterprise,Finance,48000,9
C01444,2025Q1,active,Pro,Retail,8400,18
C01445,2025Q1,active,Starter,Manufacturing,1200,18
C01446,2025Q1,active,Enterprise,Finance,48000,18
C01447,2025Q3,active,Pro,Healthcare,8400,12
C01448,2025Q3,active,Starter,Finance,1200,12
C01449,2025Q3,active,Enterprise,Manufacturing,48000,12
C01450,2025Q1,2026Q1,Pro,Manufacturing,8400,12
C01451,2025Q3,active,Pro,SaaS,8400,12
C01452,2025Q2,active,Pro,Finance,8400,15
C01453,2025Q3,active,Starter,Retail,1200,12
C01454,2025Q2,active,Starter,SaaS,1200,15
C01455,2025Q1,2025Q4,Starter,SaaS,1200,9
C01456,2025Q1,active,Starter,Healthcare,1200,18
C01457,2025Q1,active,Starter,SaaS,1200,18
C01458,2025Q2,active,Starter,Retail,1200,15
C01459,2025Q2,active,Starter,Retail,1200,15
C01460,2025Q2,active,Pro,SaaS,8400,15
C01461,2025Q2,active,Pro,SaaS,8400,15
C01462,2025Q2,active,Enterprise,Manufacturing,48000,15
C01463,2025Q1,active,Pro,SaaS,8400,18
C01464,2025Q3,active,Enterprise,SaaS,48000,12
C01465,2025Q2,active,Pro,Retail,8400,15
C01466,2025Q1,active,Enterprise,Healthcare,48000,18
C01467,2025Q2,active,Starter,Healthcare,1200,15
C01468,2025Q3,active,Pro,Retail,8400,12
C01469,2025Q3,active,Starter,Retail,1200,12
C01470,2025Q3,active,Starter,Healthcare,1200,12
C01471,2025Q3,active,Pro,Healthcare,8400,12
C01472,2025Q1,active,Pro,Healthcare,8400,18
C01473,2025Q1,active,Starter,Retail,1200,18
C01474,2025Q3,active,Pro,Finance,8400,12
C01475,2025Q3,active,Starter,Healthcare,1200,12
C01476,2025Q1,active,Pro,Healthcare,8400,18
C01477,2025Q3,active,Pro,Manufacturing,8400,12
C01478,2025Q1,2026Q2,Starter,Manufacturing,1200,15
C01479,2025Q3,active,Enterprise,Manufacturing,48000,12
C01480,2025Q2,active,Enterprise,Retail,48000,15
C01481,2025Q3,active,Starter,Finance,1200,12
C01482,2025Q3,2026Q1,Starter,Healthcare,1200,6
C01483,2025Q3,active,Starter,Retail,1200,12
C01484,2025Q1,2026Q2,Pro,Retail,8400,15
C01485,2025Q3,active,Starter,Retail,1200,12
C01486,2025Q1,active,Starter,Healthcare,1200,18
C01487,2025Q3,active,Starter,Manufacturing,1200,12
C01488,2025Q1,active,Starter,Retail,1200,18
C01489,2025Q2,2026Q2,Pro,Retail,8400,12
C01490,2025Q2,active,Starter,Healthcare,1200,15
C01491,2025Q2,active,Pro,Retail,8400,15
C01492,2025Q2,2026Q2,Starter,Retail,1200,12
C01493,2025Q1,active,Pro,Manufacturing,8400,18
C01494,2025Q1,active,Pro,SaaS,8400,18
C01495,2025Q2,active,Pro,Finance,8400,15
C01496,2025Q2,active,Pro,Finance,8400,15
C01497,2025Q1,active,Starter,Manufacturing,1200,18
C01498,2025Q3,active,Starter,Healthcare,1200,12
C01499,2025Q2,active,Enterprise,Manufacturing,48000,15
C01500,2025Q2,2025Q4,Pro,Retail,8400,6
C01501,2025Q2,active,Starter,SaaS,1200,15
C01502,2025Q1,2025Q4,Starter,Healthcare,1200,9
C01503,2025Q1,active,Starter,Finance,1200,18
C01504,2025Q1,active,Starter,Retail,1200,18
C01505,2025Q1,2025Q2,Pro,SaaS,8400,3
C01506,2025Q1,active,Pro,Retail,8400,18
C01507,2025Q1,active,Starter,Healthcare,1200,18
C01508,2025Q3,active,Pro,Healthcare,8400,12
C01509,2025Q3,active,Pro,SaaS,8400,12
C01510,2025Q1,active,Enterprise,SaaS,48000,18
C01511,2025Q1,active,Starter,Finance,1200,18
C01512,2025Q1,active,Starter,Manufacturing,1200,18
